Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Description,Investor Names
Debt Financing - MFS Africa,https://www.crunchbase.com/funding_round/mfs-africa-debt-financing--5e87db88,"Johannesburg, NA - South Africa, South Africa, Africa",MFS Africa,https://www.crunchbase.com/organization/mfs-africa,Debt Financing,30000000,USD,30000000,2021-11-10,"MFS Africa is a digital payment company that offers mobile financial solutions for senders, money users, and service providers.","Lendable, Norsad Finance"
Seed Round - Pariti,https://www.crunchbase.com/funding_round/pariti-b729-seed--f6a6ce88,"Nairobi, Nairobi Area, Kenya, Africa",Pariti,https://www.crunchbase.com/organization/pariti-b729,Seed,2850000,USD,2850000,2021-12-05,Pariti empowers businesses with tools and expertise and providing expert freelancers with a platform to develop their careers.,"ADV, Basecamp Fund, Diverse Angels, Harlem Capital Partners, NGM Ventures"
Series B - TradeDepot,https://www.crunchbase.com/funding_round/tradedepot-series-b--d56eebe5,"Lagos, Lagos, Nigeria, Africa",TradeDepot,https://www.crunchbase.com/organization/tradedepot,Series B,42000000,USD,42000000,2021-12-06,TradeDepot is a B2B e-commerce and embedded finance platform that offers a broad range of consumer goods to SME retailers.,"CDC Group, Endeavor Catalyst, International Finance Corporation, MSA Capital, Novastar Ventures, Partech, SAHEL Capital"
Series A - Gozem,https://www.crunchbase.com/funding_round/gozem-series-a--a38f33d4,"Lomé, Maritime, Togo, Africa",Gozem,https://www.crunchbase.com/organization/gozem,Series A,5000000,USD,5000000,2021-12-02,"Gozem is an application that offers its users transportation, delivery, and cashless payment services.","AAIC Ventures, CMC Capital Group, Innoport, Liil Ventures, Momentum Venture, Thunes"
Seed Round - Stitch,https://www.crunchbase.com/funding_round/stitch-money-seed--75e78740,"Cape Town, NA - South Africa, South Africa, Africa",Stitch,https://www.crunchbase.com/organization/stitch-money,Seed,2000000,USD,2000000,2021-10-28,Stitch Money provides full API access to financial accounts.,"500 Fintech, Charles Delingpole, CRE Venture Capital, Emilie Choi, Firstminute Capital, Future Africa, Matt Robinson, Norrsken VC, Raba, Tom Blomfield, Village Global"
Series B - Ozow,https://www.crunchbase.com/funding_round/i-pay-series-b--2b8a7bf3,"Johannesburg, NA - South Africa, South Africa, Africa",Ozow,https://www.crunchbase.com/organization/i-pay,Series B,48000000,USD,48000000,2021-11-17,Ozow is an instant EFT payment service in South Africa that allows your customer to make secure online payments directly into your bank.,"Endeavor Catalyst, Endeavor South Africa, Tencent"
Venture Round - beXel,https://www.crunchbase.com/funding_round/bexel-series-unknown--1c28c095,"Nasr City, Al Qahirah, Egypt, Africa",beXel,https://www.crunchbase.com/organization/bexel,Venture - Series Unknown,,,,2021-12-01,"Bexel is a software company that helps inspection companies digitize their entire inspection process, go paperless.","Flat6Labs, JH Investments, Saudi Angel Investors, UI Investments"
Debt Financing - TradeDepot,https://www.crunchbase.com/funding_round/tradedepot-debt-financing--99531b39,"Lagos, Lagos, Nigeria, Africa",TradeDepot,https://www.crunchbase.com/organization/tradedepot,Debt Financing,68000000,USD,68000000,2021-12-06,TradeDepot is a B2B e-commerce and embedded finance platform that offers a broad range of consumer goods to SME retailers.,Arcadia Funds
Pre Seed Round - Flex Finance,https://www.crunchbase.com/funding_round/flex-finance-pre-seed--e9c022c3,"Lagos, Lagos, Nigeria, Africa",Flex Finance,https://www.crunchbase.com/organization/flex-finance,Pre-Seed,,,,2021-12-03,"Flex Finance is a simple mobile platform that allows SMEs manage and track their expenses, with little-to-no financial knowledge required.","Berrywood Capital, Brett Kopf, Julian Shapiro, Kairos Angels, LoftyInc Capital Management, Maneesh Arora, Paradox Capital, Sahil Lavingia"
Series B - uLesson,https://www.crunchbase.com/funding_round/ulesson-series-b--1a7645f4,"Jos, Plateau, Nigeria, Africa",uLesson,https://www.crunchbase.com/organization/ulesson,Series B,15000000,USD,15000000,2021-12-09,"uLesson mobile offering rests on three pillars: academics,media & technology and curriculum content is delivered via streaming and SD cards.","Founder Collective, Nielsen Ventures, Owl Ventures, Tencent, TLcom Capital Partners"
Series C - Twiga Foods,https://www.crunchbase.com/funding_round/twiga-foods-series-c--885d96d4,"Nairobi, Nairobi Area, Kenya, Africa",Twiga Foods,https://www.crunchbase.com/organization/twiga-foods,Series C,50000000,USD,50000000,2021-11-01,Twiga Foods is a business-to-business marketplace platform that sources produce directly from farmers and delivers it to urban retailers.,"Creadev, DOB Equity, Endeavor Catalyst, Finnfund (Finnish Fund for Industrial Cooperation Ltd.), IFC Venture Capital Group, Juven, TLcom Capital Partners"
Series A - OfferZen,https://www.crunchbase.com/funding_round/offerzen-series-a--5a363551,"Cape Town, NA - South Africa, South Africa, Africa",OfferZen,https://www.crunchbase.com/organization/offerzen,Series A,4500000,EUR,5093574,2021-12-01,OfferZen is a platform to get competing job offers from top South African tech companies.,Base Capital Pty. Ltd.
Pre Seed Round - Octamile,https://www.crunchbase.com/funding_round/octamile-pre-seed--4267d7de,"Lagos, Lagos, Nigeria, Africa",Octamile,https://www.crunchbase.com/organization/octamile,Pre-Seed,500000,USD,500000,2021-12-01,Octamile are enabling Insurance and non-insurance businesses to simplify access to insurance and protect Africans from financial loss.,"Dale Mathias, EchoVC Partners, Fiat Ventures, Kesho Capital, Kyle Daley, TRADE X, Verraki Africa"
Series A - Breadfast,https://www.crunchbase.com/funding_round/breadfast-series-a--6ddcc3a6,"Cairo, Al Qahirah, Egypt, Africa",Breadfast,https://www.crunchbase.com/organization/breadfast,Series A,26000000,USD,26000000,2021-11-03,"Breadfast delivers all the households essentials, from bread, to milk, fruits and veggies and more than 3,000 items in less than 60 minutes.","4DX Ventures, Endure Capital, Flexport, JAM Fund, Shorooq Partners, VNV Global, Y Combinator Continuity Fund"
Seed Round - Colony Lab,https://www.crunchbase.com/funding_round/colony-lab-seed--69f80d2d,"Mahé, Beau Vallon, Seychelles, Africa",Colony Lab,https://www.crunchbase.com/organization/colony-lab,Seed,18500000,USD,18500000,2021-11-30,Colony Lab is a community-driven initiative to power the Avalanche Platform growth by investing in early-stage projects.,"Avalanche, Bixin Ventures, Damo Labs, GBV Capital, Hashkey, Shima Capital"
